Race Name,Candidate 1,Result 1,Candidate 2,Result 2,Candidate 3,Result 3,Pollster
New York Governor, Molinaro,35,Cuomo, 58,,,Quinnipiac
Alaska Governor, Dunleavy, 52,Begich,45,,,Alaska Survey Research
California Governor, Cox,43,Newsom, 51,,,KFI-NBC 4
California Governor, Cox,35,Newsom, 52,,,KABC/SurveyUSA
Oregon Governor, Buehler,35,Brown, 40,,,OPB/DHM Research*
Nevada Governor, Laxalt, 46,Sisolak,41,,,Emerson*
Georgia Governor, Kemp, 48,Abrams,46,,,Atlanta Journal-Constitution*
Texas Governor, Abbott, 57,Valdez,35,,,NY Times/Siena
Nevada Governor, Laxalt, 46,Sisolak,45,,,NY Times/Siena
Michigan Governor, Schuette,38,Whitmer, 46,,,Mitchell Research
Texas Governor, Abbott, 58,Valdez,38,,,Quinnipiac
Wisconsin Governor, Walker,47,Evers, 46,,,Marquette*
Arizona Governor, Ducey, 54,Garcia,37,,,OH Predictive Insights
Minnesota Governor, Johnson,38,Walz, 55,,,NBC News/Marist
Maryland Governor, Hogan, 54,Jealous,36,,,Gonzales Research*
Nevada Governor, Laxalt, 46,Sisolak,45,,,NBC News/Marist
Alaska Governor, Dunleavy, 55,Begich,41,,,Alaska Survey Research
Maryland Governor, Hogan, 58,Jealous,38,,,Washington Post
Texas Governor, Abbott, 53,Valdez,33,,,Emerson*
Oklahoma Governor, Stitt, 46,Edmondson,40,,,Cole Hargrave Snodgrass & Associates*
Tennessee Governor, Lee, 53,Dean,36,,,FOX News
Michigan Governor, Schuette,35,Whitmer, 47,,,Detroit News/WDIV-TV
Arizona Governor, Ducey, 50,Garcia,38,,,Suffolk*
California Governor, Cox,45,Newsom, 50,,,KFI-NBC 4
Florida Governor, DeSantis,43,Gillum, 44,,,WCTV-TV
Illinois Governor, Rauner,27,Pritzker, 49,,,The Simon Poll/SIU*
New Hampshire Governor, Sununu, 51,Kelly,35,,,Emerson*
Tennessee Governor, Lee, 59,Dean,33,,,NY Times/Siena
Wisconsin Governor, Walker,43,Evers, 53,,,NBC News/Marist
California Governor, Cox,42,Newsom, 54,,,KFI-NBC 4
Massachusetts Governor, Baker, 66,Gonzalez,27,,,UMass Lowell
Georgia Governor, Kemp, 47,Abrams,45,,,WXIA-TV/SurveyUSA
Ohio Governor, DeWine,40,Cordray, 46,,,Suffolk*
Rhode Island Governor, Fung,34,Raimondo, 48,,,UNH*
Connecticut Governor, Stefanowski,39,Lamont, 47,,,Quinnipiac
Nevada Governor, Laxalt, 44,Sisolak,40,Lord, 8,NBC News/Marist
Oregon Governor, Buehler,45,Brown, 49,,,The Oregonian*
Arizona Governor, Ducey, 55,Garcia,37,,,FOX News
South Carolina Governor, McMaster, 51,Smith,37,,,Trafalgar Group (R)
Florida Governor, DeSantis,44,Gillum, 45,,,Mason-Dixon*
New York Governor, Molinaro,38,Cuomo, 56,,,Siena
Georgia Governor, Kemp, 48,Abrams,46,,,Landmark Communications*
Colorado Governor, Stapleton,40,Polis, 47,,,Keating (D)/Magellan (R)*
Nevada Governor, Laxalt, 41,Sisolak,45,,,CNN*
Kansas Governor, Kobach, 37,Kelly,36,Orman, 9,Emerson*
Florida Governor, DeSantis,45,Gillum, 47,,,St. Pete Polls*
Alaska Governor, Dunleavy, 50,Begich,47,,,Alaska Survey Research
Pennsylvania Governor, Wagner,30,Wolf, 52,,,Franklin & Marshall*
California Governor, Cox,39,Newsom, 51,,,PPIC
Ohio Governor, DeWine,47,Cordray, 47,,,NBC News/Marist
California Governor, Cox,42,Newsom, 53,,,KFI-NBC 4
Florida Governor, DeSantis,43,Gillum, 48,,,NBC News/Marist
Oregon Governor, Buehler,41,Brown, 42,,,Clout Research (R)
Florida Governor, DeSantis,43,Gillum, 47,,,UNF
Iowa Governor, Reynolds,41,Hubbell, 43,,,Des Moines Register
Pennsylvania Governor, Wagner,36,Wolf, 55,,,Morning Call*
Rhode Island Governor, Fung,36,Raimondo, 43,,,WPRI/Roger Williams*
Pennsylvania Governor, Wagner,40,Wolf, 52,,,Rasmussen Reports
Nevada Governor, Laxalt, 41,Sisolak,45,Lord, 5,CNN
Maryland Governor, Hogan, 52,Jealous,37,,,Mason-Dixon*
Michigan Governor, Schuette,37,Whitmer, 45,,,EPIC-MRA*
Florida Governor, DeSantis,45,Gillum, 54,,,Quinnipiac
Arizona Governor, Ducey, 51,Garcia,43,,,NBC News/Marist
Arizona Governor, Ducey, 42,Garcia,38,,,Emerson*
Michigan Governor, Schuette,38,Whitmer, 48,,,Mitchell Research
