Race Name,Candidate 1,Result 1,Candidate 2,Result 2,Candidate 3,Result 3,Pollster
Minnesota Senate, Newberger,33,Klobuchar, 63,,,NBC News/Marist
Rhode Island Senate, Flanders,33,Whitehouse, 57,,,UNH
Nevada Senate, Heller, 46,Rosen,44,,,NBC News/Marist
Texas Senate, Cruz, 47,O'Rourke,42,,,Emerson*
Arizona Senate, McSally, 44,Sinema,47,,,CBS News/YouGov
Texas Senate, Cruz, 50,O'Rourke,44,,,CBS News/YouGov
Florida Senate, Scott,46,Nelson, 47,,,Mason-Dixon
Indiana Senate, Braun,41,Donnelly, 43,Brenton, 6,FOX News
North Dakota Senate, Cramer, 53,Heitkamp,41,,,FOX News
Michigan Senate, James,35,Stabenow, 53,,,Detroit News/WDIV-TV
Arizona Senate, McSally, 42,Sinema,45,,,Suffolk*
New Jersey Senate, Hugin,37,Menendez, 43,,,Fairleigh Dickinson
California Senate, Feinstein,26,de Leon, 40,,,KABC/SurveyUSA
Maryland Senate, Campbell,22,Cardin, 49,Simon,18,Gonzales Research
Texas Senate, Cruz, 51,O'Rourke,43,,,NY Times/Siena
Wisconsin Senate, Vukmir,40,Baldwin, 54,,,NBC News/Marist
Texas Senate, Cruz, 54,O'Rourke,45,,,Quinnipiac
Wisconsin Senate, Vukmir,43,Baldwin, 53,,,Marquette
Minnesota Senate, Housley,38,Smith, 54,,,NBC News/Marist
Connecticut Senate, Corey,42,Murphy, 57,,,Quinnipiac
Tennessee Senate, Blackburn, 50,Bredesen,42,,,CBS News/YouGov
New Jersey Senate, Hugin,39,Menendez, 49,,,CBS News/YouGov
Tennessee Senate, Blackburn, 48,Bredesen,43,,,FOX News
Missouri Senate, Hawley, 46,McCaskill,46,,,FOX News
Arizona Senate, McSally, 45,Sinema,47,,,FOX News
New Jersey Senate, Hugin,42,Menendez, 53,,,Quinnipiac
New York Senate, Farley,29,Gillibrand, 61,,,Siena
Florida Senate, Scott,44,Nelson, 45,,,WCTV-TV
North Dakota Senate, Cramer, 51,Heitkamp,41,,,NBC Valley News
Nevada Senate, Heller, 43,Rosen,47,,,CNN*
Missouri Senate, Hawley, 44,McCaskill,47,,,CNN*
Florida Senate, Scott,47,Nelson, 47,,,St. Pete Polls
Missouri Senate, Hawley, 48,McCaskill,46,,,Missouri Scout*
Pennsylvania Senate, Barletta,33,Casey, 50,,,Franklin & Marshall*
California Senate, Feinstein,29,de Leon, 40,,,PPIC
Ohio Senate, Renacci,39,Brown, 52,,,NBC News/Marist
Florida Senate, Scott,45,Nelson, 48,,,NBC News/Marist
Arizona Senate, McSally, 45,Sinema,48,,,NBC News/Marist
Massachusetts Senate, Diehl,30,Warren, 56,,,WBUR/MassINC*
Florida Senate, Scott,45,Nelson, 45,,,UNF
Pennsylvania Senate, Barletta,35,Casey, 53,,,Morning Call*
Rhode Island Senate, Flanders,35,Whitehouse, 54,,,WPRI/Roger Williams
Florida Senate, Scott,42,Nelson, 41,,,Florida Atlantic University
Massachusetts Senate, Diehl,24,Warren, 54,,,Boston Globe/Suffolk*
West Virginia Senate, Morrisey,38,Manchin, 46,,,WSAZ-TV*
New Jersey Senate, Hugin,43,Menendez, 45,,,Stockton University*
Michigan Senate, James,33,Stabenow, 56,,,EPIC-MRA
Delaware Senate, Arlett,24,Carper, 61,,,University of Delaware*
Florida Senate, Scott,46,Nelson, 53,,,Quinnipiac
Montana Senate, Rosendale,45,Tester, 49,,,Gravis
Arizona Senate, McSally, 39,Sinema,45,,,Emerson*
Michigan Senate, James,41,Stabenow, 54,,,Mitchell Research
Pennsylvania Senate, Barletta,38,Casey, 52,,,Rasmussen Reports
Maryland Senate, Campbell,17,Cardin, 56,Simon, 8,Goucher College
