State,District,Position,Party,Candidate,Vote Share
California,3,U.S. Representative,Democratic,John Garamendi,0.53
California,3,U.S. Representative,Republican,Dan Logue,0.47
California,4,U.S. Representative,Republican,Tom McClintock,0.60
California,4,U.S. Representative,Republican,Art Moore,0.40
California,5,U.S. Representative,Democratic,Mike Thompson,0.76
California,5,U.S. Representative,Independent,James Hinton,0.24
California,6,U.S. Representative,Democratic,Doris Matsui,0.73
California,6,U.S. Representative,Republican,Joseph McCray Sr.,0.27
California,7,U.S. Representative,Democratic,Ami Bera,0.50
California,7,U.S. Representative,Republican, Doug Ose,0.50
California,8,U.S. Representative,Republican,Paul Cook,0.68
California,8,U.S. Representative,Democratic,Bob Conaway,0.32
California,9,U.S. Representative,Democratic,Jerry McNerney,0.52
California,9,U.S. Representative,Republican,Tony Amador,0.48
California,10,U.S. Representative,Republican,Jeff Denham,0.56
California,10,U.S. Representative,Democratic,Michael Eggman,0.44
California,11,U.S. Representative,Democratic,Mark DeSaulnier,0.67
California,11,U.S. Representative,Republican,Tue Phan,0.33
California,12,U.S. Representative,Democratic,Nancy Pelosi,0.83
California,12,U.S. Representative,Republican,John Dennis,0.17
California,13,U.S. Representative,Democratic,Barbara Lee,0.89
California,13,U.S. Representative,Republican,Dakin Sundeen,0.12
California,14,U.S. Representative,Democratic,Jackie Speier,0.77
California,14,U.S. Representative,Republican,Robin Chew,0.23
California,15,U.S. Representative,Democratic,Eric Swalwell,0.70
California,15,U.S. Representative,Republican,Hugh Bussell,0.30
California,16,U.S. Representative,Democratic,Jim Costa,0.51
California,16,U.S. Representative,Republican, Johnny Tacherra,0.49
California,17,U.S. Representative,Democratic,Mike Honda,0.52
California,17,U.S. Representative,Democratic,Ro Khanna,0.48
California,18,U.S. Representative,Democratic,Anna Eshoo,0.68
California,18,U.S. Representative,Republican,Richard B. Fox,0.32
California,19,U.S. Representative,Democratic,Zoe Lofgren,0.67
California,19,U.S. Representative,Democratic,Robert Murray,0.33
California,20,U.S. Representative,Democratic,Sam Farr,0.75
California,20,U.S. Representative,Independent,Ronald Kabat,0.25
California,21,U.S. Representative,Republican,David Valadao,0.58
California,21,U.S. Representative,Democratic,Amanda Renteria,0.42
California,22,U.S. Representative,Republican,Devin Nunes,0.72
California,22,U.S. Representative,Democratic,Sam Aguilera-Marrero,0.28
California,23,U.S. Representative,Republican,Kevin McCarthy,0.75
California,23,U.S. Representative,Democratic,Raul Garcia,0.25
California,24,U.S. Representative,Democratic,Lois Capps,0.52
California,24,U.S. Representative,Republican,Chris Mitchum,0.48
California,25,U.S. Representative,Republican,Steve Knight,0.53
California,25,U.S. Representative,Republican,Tony Strickland,0.47
California,26,U.S. Representative,Democratic,Julia Brownley,0.51
California,26,U.S. Representative,Republican,Jeff Gorell,0.49
California,27,U.S. Representative,Democratic,Judy Chu,0.59
California,27,U.S. Representative,Republican,Jack Orswell,0.41
California,28,U.S. Representative,Democratic,Adam Schiff,0.77
California,28,U.S. Representative,Independent,Steve Stokes,0.24
California,29,U.S. Representative,Democratic,Tony Cardenas,0.75
California,29,U.S. Representative,Republican,William Leader,0.25
California,30,U.S. Representative,Democratic,Brad Sherman,0.66
California,30,U.S. Representative,Republican,Mark Reed,0.34
California,31,U.S. Representative,Democratic,Pete Aguilar,0.52
California,31,U.S. Representative,Republican,Paul Chabot,0.48
California,32,U.S. Representative,Democratic,Grace Napolitano,0.60
California,32,U.S. Representative,Republican,Arturo Alas,0.40
California,33,U.S. Representative,Democratic,Ted Lieu,0.59
California,33,U.S. Representative,Republican,Elan Carr,0.41
California,34,U.S. Representative,Democratic,Xavier Becerra,0.73
California,34,U.S. Representative,Democratic,Adrienne Edwards,0.28
California,35,U.S. Representative,Democratic,Norma Torres,0.64
California,35,U.S. Representative,Democratic,Christina Gagnier,0.37
California,36,U.S. Representative,Democratic,Raul Ruiz,0.54
California,36,U.S. Representative,Republican,Brian Nestande,0.46
California,37,U.S. Representative,Democratic,Karen Bass,0.84
California,37,U.S. Representative,Republican,R. Adam King,0.16
California,38,U.S. Representative,Democratic,Linda Sanchez,0.59
California,38,U.S. Representative,Republican,Benjamin Campos,0.41
California,39,U.S. Representative,Republican,Ed Royce,0.69
California,39,U.S. Representative,Democratic,Peter Anderson,0.32
California,40,U.S. Representative,Democratic,Lucille Roybal-Allard,0.61
California,40,U.S. Representative,Democratic,David Sanchez,0.39
California,41,U.S. Representative,Democratic,Mark Takano,0.57
California,41,U.S. Representative,Republican,Steve Adams,0.43
California,42,U.S. Representative,Republican,Ken Calvert,0.66
California,42,U.S. Representative,Democratic,Tim Sheridan,0.34
California,43,U.S. Representative,Democratic,Maxine Waters,0.71
California,43,U.S. Representative,Republican,John Wood Jr.,0.29
California,44,U.S. Representative,Democratic,Janice Hahn,0.87
California,44,U.S. Representative,Peace & Freedom,Adam Shbeita,0.13
California,45,U.S. Representative,Republican,Mimi Walters,0.65
California,45,U.S. Representative,Democratic,Drew Leavens,0.35
California,46,U.S. Representative,Democratic,Loretta Sanchez,0.60
California,46,U.S. Representative,Republican,Adam Nick,0.40
California,47,U.S. Representative,Democratic,Alan Lowenthal,0.56
California,47,U.S. Representative,Republican,Andy Whallon,0.44
California,48,U.S. Representative,Republican,Dana Rohrabacher,0.64
California,48,U.S. Representative,Democratic,Suzanne Savary,0.36
California,49,U.S. Representative,Republican,Darrell Issa,0.60
California,49,U.S. Representative,Democratic,Dave Peiser,0.40
California,50,U.S. Representative,Republican,Duncan D. Hunter,0.71
California,50,U.S. Representative,Democratic,James Kimber,0.29
California,51,U.S. Representative,Democratic,Juan Vargas,0.69
California,51,U.S. Representative,Republican,Stephen Meade,0.31
California,52,U.S. Representative,Democratic,Scott Peters,0.52
California,52,U.S. Representative,Republican,Carl DeMaio,0.48
California,53,U.S. Representative,Democratic,Susan Davis,0.59
California,53,U.S. Representative,Republican,Larry Wilske,0.41
Colorado,1,U.S. Representative,Democratic,Diana DeGette,0.66
Colorado,1,U.S. Representative,Republican,Martin Walsh,0.29
Colorado,1,U.S. Representative,Libertarian,Frank Atwood,0.03
Colorado,2,U.S. Representative,Democratic,Jared Polis,0.57
Colorado,2,U.S. Representative,Republican,George Leing,0.43
Colorado,3,U.S. Representative,Republican,Scott Tipton,0.58
Colorado,3,U.S. Representative,Democratic,Abel Tapia,0.36
Colorado,3,U.S. Representative,Independent,Tisha Casida,0.04
Colorado,4,U.S. Representative,Republican,Ken Buck,0.65
Colorado,4,U.S. Representative,Democratic,Vic Meyers,0.29
Colorado,4,U.S. Representative,Libertarian,Jess Loban,0.03
Colorado,5,U.S. Representative,Republican,Doug Lamborn,0.60
Colorado,5,U.S. Representative,Democratic,Irv Halter,0.40
Colorado,6,U.S. Representative,Republican,Mike Coffman,0.52
Colorado,6,U.S. Representative,Democratic,Andrew Romanoff,0.43
Colorado,6,U.S. Representative,Libertarian,Norm Olsen,0.03
Colorado,7,U.S. Representative,Democratic,Ed Perlmutter,0.55
Colorado,7,U.S. Representative,Republican,Don Ytterberg,0.45
Connecticut,1,U.S. Representative,Democratic,John Larson,0.62
Connecticut,1,U.S. Representative,Republican,Matthew Corey,0.36
Connecticut,1,U.S. Representative,Green,Jeff Russell,0.02
Connecticut,2,U.S. Representative,Democratic,Joe Courtney,0.62
Connecticut,2,U.S. Representative,Republican,Lori Hopkins-Cavanagh,0.36
Connecticut,2,U.S. Representative,Libertarian,Dan Reale,0.01
Connecticut,3,U.S. Representative,Democratic,Rosa DeLauro,0.67
Connecticut,3,U.S. Representative,Republican,James Brown,0.33
Connecticut,4,U.S. Representative,Democratic,Jim Himes,0.54
Connecticut,4,U.S. Representative,Republican,Dan Debicella,0.46
Connecticut,5,U.S. Representative,Democratic,Elizabeth Esty,0.53
Connecticut,5,U.S. Representative,Republican,Mark Greenberg,0.46
Connecticut,5,U.S. Representative,Independent,John J. Pistone,0.01
Delaware,At-Large,U.S. Representative,Democratic,John Carney,0.59
Delaware,At-Large,U.S. Representative,Republican,Rose Izzo,0.37
Delaware,At-Large,U.S. Representative,Green,Bernard August,0.02
Florida,1,U.S. Representative,Republican,Jeff Miller,0.70
Florida,1,U.S. Representative,Democratic,Jim Bryan,0.23
Florida,1,U.S. Representative,Independent,Mark Wichern,0.07
Florida,2,U.S. Representative,Democratic,Gwen Graham,0.50
Florida,2,U.S. Representative,Republican,Steve Southerland,0.50
Florida,3,U.S. Representative,Republican,Ted Yoho,0.65
Florida,3,U.S. Representative,Democratic,Marihelen Wheeler,0.32
Florida,3,U.S. Representative,Independent,Howard Term Limits Lawson,0.03
Florida,4,U.S. Representative,Republican,Ander Crenshaw,0.78
Florida,4,U.S. Representative,Independent,Paula Moser-Bartlett,0.16
Florida,4,U.S. Representative,Independent,Gary Koniz,0.06
Florida,5,U.S. Representative,Democratic,Corrine Brown,0.66
Florida,5,U.S. Representative,Republican,Glo Scurry-Smith,0.35
Florida,6,U.S. Representative,Republican,Ron DeSantis,0.63
Florida,6,U.S. Representative,Democratic,David Cox,0.38
Florida,7,U.S. Representative,Republican,John Mica,0.64
Florida,7,U.S. Representative,Democratic,Wes Neuman,0.32
Florida,7,U.S. Representative,Independent,Al Krulick,0.04
Florida,8,U.S. Representative,Republican,Bill Posey,0.66
Florida,8,U.S. Representative,Democratic,Gabriel Rothblatt,0.34
Florida,9,U.S. Representative,Democratic,Alan Grayson,0.54
Florida,9,U.S. Representative,Republican,Carol Platt,0.43
Florida,9,U.S. Representative,Independent,Marko Milakovich,0.03
Florida,10,U.S. Representative,Republican,Dan Webster,0.62
Florida,10,U.S. Representative,Democratic,Michael McKenna,0.39
Florida,11,U.S. Representative,Republican,Rich Nugent,0.67
Florida,11,U.S. Representative,Democratic,Dave Koller,0.33
Florida,12,U.S. Representative,Republican,Gus Bilirakis,1.00
Florida,13,U.S. Representative,Republican,David Jolly,0.75
Florida,13,U.S. Representative,Libertarian,Lucas Overby,0.25
Florida,14,U.S. Representative,Democratic,Kathy Castor,1.00
Florida,15,U.S. Representative,Republican,Dennis Ross,0.60
Florida,15,U.S. Representative,Democratic,Alan Cohn,0.40
Florida,16,U.S. Representative,Republican,Vern Buchanan,0.62
Florida,16,U.S. Representative,Democratic,Henry Lawrence,0.38
Florida,17,U.S. Representative,Republican,Tom Rooney,0.63
Florida,17,U.S. Representative,Democratic,Will Bronson,0.37
Florida,18,U.S. Representative,Democratic,Patrick Murphy,0.60
Florida,18,U.S. Representative,Republican,Carl Domino,0.40
Florida,19,U.S. Representative,Republican,Curt Clawson,0.65
Florida,19,U.S. Representative,Democratic,April Freeman,0.33
Florida,19,U.S. Representative,Libertarian,Ray Netherwood,0.03
Florida,20,U.S. Representative,Democratic,Alcee Hastings,0.82
Florida,20,U.S. Representative,Republican,Jay Bonner,0.18
Florida,21,U.S. Representative,Democratic,Ted Deutch,1.00
Florida,22,U.S. Representative,Democratic,Lois Frankel,0.58
Florida,22,U.S. Representative,Republican,Paul Spain,0.42
Florida,23,U.S. Representative,Democratic,Debbie Wasserman Schultz,0.63
Florida,23,U.S. Representative,Republican,Joe Kaufman,0.37
Florida,24,U.S. Representative,Democratic,Frederica Wilson,0.86
Florida,24,U.S. Representative,Republican,Dufirstson Neree,0.10
Florida,24,U.S. Representative,Independent,Luis Fernandez,0.04
Florida,25,U.S. Representative,Republican,Mario Diaz-Balart,1.00
Florida,26,U.S. Representative,Republican,Carlos Curbelo,0.52
Florida,26,U.S. Representative,Democratic,Joe Garcia,0.49
Florida,27,U.S. Representative,Republican,Ileana Ros-Lehtinen,1.00
Georgia,1,U.S. Representative,Republican,Buddy Carter,0.61
Georgia,1,U.S. Representative,Democratic,Brian Reese,0.39
Georgia,2,U.S. Representative,Democratic,Sanford Bishop,0.59
Georgia,2,U.S. Representative,Republican,Greg Duke,0.41
Georgia,3,U.S. Representative,Republican,Lynn Westmoreland,1.00
Georgia,4,U.S. Representative,Democratic,Hank Johnson,1.00
Georgia,5,U.S. Representative,Democratic,John Lewis,1.00
Georgia,6,U.S. Representative,Republican,Tom Price,0.66
Georgia,6,U.S. Representative,Democratic,Bob Montigel,0.34
Georgia,7,U.S. Representative,Republican,Rob Woodall,0.65
Georgia,7,U.S. Representative,Democratic,Thomas Wight,0.35
Georgia,8,U.S. Representative,Republican,Austin Scott,1.00
Georgia,9,U.S. Representative,Republican,Doug Collins,0.81
Georgia,9,U.S. Representative,Democratic,David Vogel,0.19
Georgia,10,U.S. Representative,Republican,Jody Hice,0.67
Georgia,10,U.S. Representative,Democratic,Ken Dious,0.34
Georgia,11,U.S. Representative,Republican,Barry Loudermilk,1.00
Georgia,12,U.S. Representative,Republican,Rick W. Allen,0.55
Georgia,12,U.S. Representative,Democratic,John Barrow,0.45
Georgia,13,U.S. Representative,Democratic,David Scott,1.00
Georgia,14,U.S. Representative,Republican,Tom Graves,1.00
Hawaii,1,U.S. Representative,Democratic,Mark Takai,0.52
Hawaii,1,U.S. Representative,Republican,Charles Djou,0.48
Hawaii,2,U.S. Representative,Democratic,Tulsi Gabbard,0.79
Hawaii,2,U.S. Representative,Republican,Kawika Crowley,0.19
Hawaii,2,U.S. Representative,Libertarian,Joe Kent,0.03
Idaho,1,U.S. Representative,Republican,Raul Labrador,0.65
Idaho,1,U.S. Representative,Democratic,Shirley Ringo,0.35
Idaho,2,U.S. Representative,Republican,Mike Simpson,0.61
Idaho,2,U.S. Representative,Democratic,Richard Stallings,0.39
Illinois,1,U.S. Representative,Democratic,Bobby Rush,0.73
Illinois,1,U.S. Representative,Republican,Jimmy Lee Tillman,0.27
Illinois,2,U.S. Representative,Democratic,Robin Kelly,0.79
Illinois,2,U.S. Representative,Republican,Eric Wallace,0.22
Illinois,3,U.S. Representative,Democratic,Dan Lipinski,0.65
Illinois,3,U.S. Representative,Republican,Sharon Brannigan,0.35
Illinois,4,U.S. Representative,Democratic,Luis Gutierrez,0.78
Illinois,4,U.S. Representative,Republican,Hector Concepcion,0.22
Illinois,5,U.S. Representative,Democratic,Mike Quigley,0.63
Illinois,5,U.S. Representative,Republican,Vince Kolber,0.31
Illinois,5,U.S. Representative,Green,Nancy Wade,0.06
Illinois,6,U.S. Representative,Republican,Peter Roskam,0.67
Illinois,6,U.S. Representative,Democratic,Michael Mason,0.33
Illinois,7,U.S. Representative,Democratic,Danny Davis,0.85
Illinois,7,U.S. Representative,Republican,Robert Bumpers,0.15
Illinois,8,U.S. Representative,Democratic,Tammy Duckworth,0.56
Illinois,8,U.S. Representative,Republican,Larry Kaifesh,0.44
Illinois,9,U.S. Representative,Democratic,Jan Schakowsky,0.66
Illinois,9,U.S. Representative,Republican,Susanne Atanus,0.34
Illinois,10,U.S. Representative,Republican,Bob Dold,0.51
Illinois,10,U.S. Representative,Democratic,Brad Schneider,0.49
Illinois,11,U.S. Representative,Democratic,Bill Foster,0.54
Illinois,11,U.S. Representative,Republican,Darlene Senger,0.47
Illinois,12,U.S. Representative,Republican,Mike Bost,0.53
Illinois,12,U.S. Representative,Democratic,Bill Enyart,0.42
Illinois,13,U.S. Representative,Republican,Rodney Davis,0.59
Illinois,13,U.S. Representative,Democratic,Ann Callis,0.41
Illinois,14,U.S. Representative,Republican,Randy Hultgren,0.65
Illinois,14,U.S. Representative,Democratic,Dennis Anderson,0.35
Illinois,15,U.S. Representative,Republican,John Shimkus,0.75
Illinois,15,U.S. Representative,Democratic,Eric Thorsland,0.25
Illinois,16,U.S. Representative,Republican,Adam Kinzinger,0.71
Illinois,16,U.S. Representative,Democratic,Randall Olsen,0.29
Illinois,17,U.S. Representative,Democratic,Cheri Bustos,0.56
Illinois,17,U.S. Representative,Republican,Bobby Schilling,0.45
Illinois,18,U.S. Representative,Republican,Aaron Schock,0.75
Illinois,18,U.S. Representative,Democratic,Darrel Miller,0.25
Indiana,1,U.S. Representative,Democratic,Pete Visclosky,0.61
Indiana,1,U.S. Representative,Republican,Mark Leyva,0.36
Indiana,1,U.S. Representative,Libertarian,Donna Dunn,0.03
Indiana,2,U.S. Representative,Republican,Jackie Walorski,0.59
Indiana,2,U.S. Representative,Democratic,Joe Bock,0.38
Indiana,2,U.S. Representative,Libertarian,Jeff Petermann,0.03
Indiana,3,U.S. Representative,Republican,Marlin Stutzman,0.66
Indiana,3,U.S. Representative,Democratic,Justin Kuhnle,0.27
Indiana,3,U.S. Representative,Libertarian,Scott Wise,0.08
Indiana,4,U.S. Representative,Republican,Todd Rokita,0.67
Indiana,4,U.S. Representative,Democratic,John Dale,0.33
Indiana,5,U.S. Representative,Republican,Susan Brooks,0.65
Indiana,5,U.S. Representative,Democratic,Shawn Denney,0.31
Indiana,5,U.S. Representative,Libertarian,John Krom,0.04
Indiana,6,U.S. Representative,Republican,Luke Messer,0.66
Indiana,6,U.S. Representative,Democratic,Susan Hall Heitzman,0.29
Indiana,6,U.S. Representative,Libertarian,Eric Miller,0.05
Indiana,7,U.S. Representative,Democratic,André Carson,0.55
Indiana,7,U.S. Representative,Republican,Catherine Ping,0.42
Indiana,7,U.S. Representative,Libertarian,Chris Mayo,0.04
Indiana,8,U.S. Representative,Republican,Larry Bucshon,0.60
Indiana,8,U.S. Representative,Democratic,Tom Spangler,0.36
Indiana,8,U.S. Representative,Libertarian,Andrew Horning,0.04
Indiana,9,U.S. Representative,Republican,Todd Young,0.62
Indiana,9,U.S. Representative,Democratic,Bill Bailey,0.34
Indiana,9,U.S. Representative,Libertarian,Mike Frey,0.04
Iowa,1,U.S. Representative,Republican,Rod Blum,0.51
Iowa,1,U.S. Representative,Democratic,Pat Murphy,0.49
Iowa,2,U.S. Representative,Democratic,Dave Loebsack,0.52
Iowa,2,U.S. Representative,Republican,Mariannette Miller-Meeks,0.48
Iowa,3,U.S. Representative,Republican,David Young,0.53
Iowa,3,U.S. Representative,Democratic,Staci Appel,0.42
Iowa,3,U.S. Representative,Libertarian,Edward Wright,0.03
Iowa,4,U.S. Representative,Republican,Steve King,0.62
Iowa,4,U.S. Representative,Democratic,Jim Mowrer,0.38
Kansas,1,U.S. Representative,Republican,Tim Huelskamp,0.68
Kansas,1,U.S. Representative,Democratic,Jim Sherow,0.33
Kansas,2,U.S. Representative,Republican,Lynn Jenkins,0.57
Kansas,2,U.S. Representative,Democratic,Margie Wakefield,0.39
Kansas,2,U.S. Representative,Libertarian,Chris Clemmons,0.04
Kansas,3,U.S. Representative,Republican,Kevin Yoder,0.60
Kansas,3,U.S. Representative,Democratic,Kelly Kultala,0.40
Kansas,4,U.S. Representative,Republican,Mike Pompeo,0.67
Kansas,4,U.S. Representative,Democratic,Perry Schuckman,0.33
Kentucky,1,U.S. Representative,Republican,Ed Whitfield,0.73
Kentucky,1,U.S. Representative,Democratic,Charles Hatchett,0.27
Kentucky,2,U.S. Representative,Republican,Brett Guthrie,0.69
Kentucky,2,U.S. Representative,Democratic,Ron Leach,0.31
Kentucky,3,U.S. Representative,Democratic,John Yarmuth,0.64
Kentucky,3,U.S. Representative,Republican,Michael Macfarlane,0.36
Kentucky,3,U.S. Representative,Independent,Gregory Puccetti,0.01
Kentucky,4,U.S. Representative,Republican,Thomas Massie,0.68
Kentucky,4,U.S. Representative,Democratic,Peter Newberry,0.32
Kentucky,5,U.S. Representative,Republican,Hal Rogers,0.78
Kentucky,5,U.S. Representative,Democratic,Kenneth Stepp,0.22
Kentucky,6,U.S. Representative,Republican,Andy Barr,0.60
Kentucky,6,U.S. Representative,Democratic,Elisabeth Jensen,0.40
Louisiana,1,U.S. Representative,Republican,Steve Scalise,0.78
Louisiana,1,U.S. Representative,Democratic,Vinny Mendoza,0.10
Louisiana,1,U.S. Representative,Democratic,Lee Dugas,0.09
Louisiana,2,U.S. Representative,Democratic,Cedric Richmond,0.69
Louisiana,2,U.S. Representative,Democratic,Gary Landrieu,0.17
Louisiana,2,U.S. Representative,Independent,David Brooks,0.07
Louisiana,3,U.S. Representative,Republican,Charles Boustany,0.79
Louisiana,3,U.S. Representative,Independent,Russell Richard,0.12
Louisiana,3,U.S. Representative,Republican,Bryan Barrilleaux,0.09
Louisiana,4,U.S. Representative,Republican,John Fleming,0.73
Louisiana,4,U.S. Representative,Libertarian,Randall Lord,0.27
Louisiana,5,U.S. Representative,Republican,Ralph Abraham,0.64
Louisiana,5,U.S. Representative,Democratic,Jamie Mayo,0.36
Louisiana,6,U.S. Representative,Republican,Garret Graves,0.63
Louisiana,6,U.S. Representative,Democratic,Edwin Edwards,0.38
Maine,1,U.S. Representative,Democratic,Chellie Pingree,0.60
Maine,1,U.S. Representative,Republican,Isaac Misiuk,0.31
Maine,1,U.S. Representative,Independent,Richard Murphy,0.09
Maine,2,U.S. Representative,Republican,Bruce Poliquin,0.47
Maine,2,U.S. Representative,Democratic,Emily Cain,0.42
Maine,2,U.S. Representative,Independent,Blaine Richardson,0.11
Maryland,1,U.S. Representative,Republican,Andy Harris,0.71
Maryland,1,U.S. Representative,Democratic,Bill Tilghman,0.30
Maryland,2,U.S. Representative,Democratic,Dutch Ruppersberger,0.61
Maryland,2,U.S. Representative,Republican,Dave Banach,0.36
Maryland,2,U.S. Representative,Green,Ian Schlakman,0.03
Maryland,3,U.S. Representative,Democratic,John Sarbanes,0.60
Maryland,3,U.S. Representative,Republican,Charles Long,0.40
Maryland,4,U.S. Representative,Democratic,Donna Edwards,0.70
Maryland,4,U.S. Representative,Republican,Nancy Hoyt,0.28
Maryland,4,U.S. Representative,Libertarian,Arvin Vohra,0.02
Maryland,5,U.S. Representative,Democratic,Steny Hoyer,0.64
Maryland,5,U.S. Representative,Republican,Chris Chaffee,0.36
Maryland,6,U.S. Representative,Democratic,John Delaney,0.50
Maryland,6,U.S. Representative,Republican,Daniel Bongino,0.48
Maryland,6,U.S. Representative,Green,George Gluck,0.02
Maryland,7,U.S. Representative,Democratic,Elijah Cummings,0.70
Maryland,7,U.S. Representative,Republican,Corrogan Vaughn,0.27
Maryland,7,U.S. Representative,Libertarian,Scott Soffen,0.03
Maryland,8,U.S. Representative,Democratic,Chris Van Hollen,0.61
Maryland,8,U.S. Representative,Republican,David Wallace,0.39
Massachusetts,1,U.S. Representative,Democratic,Richard Neal,1.00
Massachusetts,2,U.S. Representative,Democratic,Jim McGovern,1.00
Massachusetts,3,U.S. Representative,Democratic,Niki Tsongas,0.63
Massachusetts,3,U.S. Representative,Republican,Roseann Wofford,0.37
Massachusetts,4,U.S. Representative,Democratic,Joe Kennedy,1.00
Massachusetts,5,U.S. Representative,Democratic,Katherine Clark,1.00
Massachusetts,6,U.S. Representative,Democratic,Seth Moulton,0.55
Massachusetts,6,U.S. Representative,Republican,Richard Tisei,0.41
Massachusetts,6,U.S. Representative,Independent,Chris Stockwell,0.04
Massachusetts,7,U.S. Representative,Democratic,Mike Capuano,1.00
Massachusetts,8,U.S. Representative,Democratic,Stephen Lynch,1.00
Massachusetts,9,U.S. Representative,Democratic,Bill Keating,0.55
Massachusetts,9,U.S. Representative,Republican,John Chapman,0.45
Michigan,1,U.S. Representative,Republican,Dan Benishek,0.52
Michigan,1,U.S. Representative,Democratic,Jerry Cannon,0.45
Michigan,1,U.S. Representative,Libertarian,Loel Gnadt,0.02
Michigan,2,U.S. Representative,Republican,Bill Huizenga,0.64
Michigan,2,U.S. Representative,Democratic,Dean Vanderstelt,0.33
Michigan,2,U.S. Representative,Libertarian,Ronald Welch,0.02
Michigan,3,U.S. Representative,Republican,Justin Amash,0.58
Michigan,3,U.S. Representative,Democratic,Bob Goodrich,0.39
Michigan,3,U.S. Representative,Green,Tonya Duncan,0.03
Michigan,4,U.S. Representative,Republican,John Moolenaar,0.57
Michigan,4,U.S. Representative,Democratic,Jeff Holmes,0.39
Michigan,4,U.S. Representative,US Taxpayer,George Zimmer,0.02
Michigan,5,U.S. Representative,Democratic,Dan Kildee,0.67
Michigan,5,U.S. Representative,Republican,Allen Hardwick,0.31
Michigan,5,U.S. Representative,Libertarian,Harold Jones,0.02
Michigan,6,U.S. Representative,Republican,Fred Upton,0.56
Michigan,6,U.S. Representative,Democratic,Paul Clements,0.40
Michigan,6,U.S. Representative,Libertarian,Erwin Haas,0.03
Michigan,7,U.S. Representative,Republican,Tim Walberg,0.54
Michigan,7,U.S. Representative,Democratic,Pam Byrnes,0.41
Michigan,7,U.S. Representative,Libertarian,Ken Proctor,0.02
Michigan,8,U.S. Representative,Republican,Mike Bishop,0.55
Michigan,8,U.S. Representative,Democratic,Eric Schertzing,0.42
Michigan,8,U.S. Representative,Libertarian,James Weeks,0.02
