,State,District,Position,Party,Candidate,Vote Share,
39,Arizona,8,U.S. Representative,LIB,Joe Duarte,0.031,
40,Arkansas,1,U.S. Representative,IND,Marion Berry,0.6679999999999999,DEM
41,Arkansas,1,U.S. Representative,REP,Tommy F. Robinson,0.332,
42,Arkansas,4,U.S. Representative,IND,Mike Ross,0.606,DEM
43,Arkansas,4,U.S. Representative,REP,Jay Dickey,0.39399999999999996,
44,California,1,U.S. Representative,IND,Mike Thompson,0.6409999999999999,DEM
45,California,1,U.S. Representative,REP,Lawrence R. Wiesner,0.324,
46,California,1,U.S. Representative,LIB,Kevin Bastian,0.035,
47,California,2,U.S. Representative,REP,Wally Herger,0.6579999999999999,
48,California,2,U.S. Representative,IND,Mike Johnson,0.293,DEM
49,California,2,U.S. Representative,IND,Patrice Thiessen,0.027000000000000003,
50,California,2,U.S. Representative,LIB,Charles R. Martin,0.022000000000000002,
51,California,3,U.S. Representative,REP,Doug Ose,0.625,
52,California,3,U.S. Representative,IND,Howard Beeman,0.344,DEM
53,California,3,U.S. Representative,LIB,Douglas Arthur Tuma,0.031,
54,California,4,U.S. Representative,REP,John Doolittle,0.648,
55,California,4,U.S. Representative,IND,Mark Norberg,0.319,DEM
56,California,4,U.S. Representative,LIB,Allen M. Roberts,0.032,
57,California,5,U.S. Representative,IND,Bob Matsui,0.715,DEM
58,California,5,U.S. Representative,REP,Richard Frankhuizen,0.264,
59,California,5,U.S. Representative,LIB,Timothy Roloff,0.031,
60,California,6,U.S. Representative,IND,Lynn Woolsey,0.667,DEM
61,California,6,U.S. Representative,REP,Paul L. Erickson,0.29600000000000004,
62,California,6,U.S. Representative,LIB,Richard O. Barton,0.024,
63,California,6,U.S. Representative,IND,Jeff Rainforth,0.013999999999999999,
64,California,7,U.S. Representative,IND,George Miller,0.7070000000000001,DEM
65,California,7,U.S. Representative,REP,Charles R. Hargrave,0.264,
66,California,7,U.S. Representative,LIB,Scott A. Wilson,0.028999999999999998,
67,California,8,U.S. Representative,IND,Nancy Pelosi,0.7959999999999999,DEM
68,California,8,U.S. Representative,REP,G. Michael German,0.125,
69,California,8,U.S. Representative,IND,Jay Pond,0.063,
70,California,8,U.S. Representative,LIB,Ira Spivack,0.017,
71,California,9,U.S. Representative,IND,Barbara Lee,0.8140000000000001,DEM
72,California,9,U.S. Representative,REP,Jerald Udinsky,0.152,
73,California,9,U.S. Representative,LIB,James M. Eyer,0.034,
74,California,10,U.S. Representative,IND,Ellen Tauscher,0.7559999999999999,DEM
75,California,10,U.S. Representative,LIB,Sonia E. Alonso Harden,0.244,
76,California,11,U.S. Representative,REP,Richard Pombo,0.603,
77,California,11,U.S. Representative,IND,Elaine Shaw,0.397,DEM
78,California,12,U.S. Representative,IND,Tom Lantos,0.6809999999999999,DEM
79,California,12,U.S. Representative,REP,Michael Moloney,0.248,
80,California,12,U.S. Representative,LIB,Maad Abu-Ghazalah,0.071,
81,California,13,U.S. Representative,IND,Pete Stark,0.711,DEM
82,California,13,U.S. Representative,REP,Syed Mahmood,0.221,
83,California,13,U.S. Representative,LIB,Mark Stroberg,0.03,
84,California,13,U.S. Representative,IND,Don J. Grundmann,0.023,
85,California,13,U.S. Representative,IND,John Bambey,0.016,
86,California,14,U.S. Representative,IND,Anna Eshoo,0.682,DEM
87,California,14,U.S. Representative,REP,Joe Nixon,0.282,
88,California,14,U.S. Representative,LIB,Andrew Carver,0.037000000000000005,
89,California,15,U.S. Representative,IND,Mike Honda,0.6579999999999999,DEM
90,California,15,U.S. Representative,REP,Linda Rae Hermann,0.31,
91,California,15,U.S. Representative,LIB,Jeff Landauer,0.032,
92,California,16,U.S. Representative,IND,Zoe Lofgren,0.67,DEM
93,California,16,U.S. Representative,REP,Douglas Adams McNea,0.298,
94,California,16,U.S. Representative,LIB,Dennis Michael Umphress,0.032,
95,California,17,U.S. Representative,IND,Sam Farr,0.6809999999999999,DEM
96,California,17,U.S. Representative,REP,Clint Engler,0.27,
97,California,17,U.S. Representative,IND,Ray Glock-Grueneich,0.033,
98,California,17,U.S. Representative,LIB,Jascha Lee,0.016,
99,California,18,U.S. Representative,IND,Dennis Cardoza,0.513,DEM
100,California,18,U.S. Representative,REP,Dick Monteith,0.434,
101,California,18,U.S. Representative,IND,Kevin Cripe,0.033,
102,California,18,U.S. Representative,LIB,Linda De Groat,0.02,
103,California,19,U.S. Representative,REP,George Radanovich,0.6729999999999999,
104,California,19,U.S. Representative,IND,John Veen,0.3,DEM
105,California,19,U.S. Representative,LIB,Patrick Lee McHargue,0.017,
106,California,20,U.S. Representative,IND,Cal Dooley,0.637,DEM
107,California,20,U.S. Representative,REP,Andre Minuth,0.34299999999999997,
108,California,20,U.S. Representative,LIB,Varrin Swearingen,0.02,
109,California,21,U.S. Representative,REP,Devin Nunes,0.705,
110,California,21,U.S. Representative,IND,David LaPere,0.262,DEM
111,California,21,U.S. Representative,LIB,Jonathan Richter,0.033,
112,California,22,U.S. Representative,REP,Bill Thomas,0.733,
113,California,22,U.S. Representative,IND,Jaime Corvera,0.237,DEM
114,California,22,U.S. Representative,LIB,Frank Coates,0.028999999999999998,
115,California,23,U.S. Representative,IND,Lois Capps,0.59,DEM
116,California,23,U.S. Representative,REP,Beth Rogers,0.386,
117,California,23,U.S. Representative,LIB,James Hill,0.024,
118,California,24,U.S. Representative,REP,Elton Gallegly,0.652,
119,California,24,U.S. Representative,IND,Fern Rudin,0.318,DEM
120,California,24,U.S. Representative,LIB,Gary Harber,0.031,
121,California,25,U.S. Representative,REP,Howard McKeon,0.65,
122,California,25,U.S. Representative,IND,Bob Conaway,0.311,DEM
123,California,25,U.S. Representative,LIB,Frank Consolo,0.039,
124,California,26,U.S. Representative,REP,David Dreier,0.638,
125,California,26,U.S. Representative,IND,Marjorie Musser Mikels,0.335,DEM
126,California,26,U.S. Representative,LIB,Randall Weissbuch,0.027000000000000003,
127,California,27,U.S. Representative,IND,Brad Sherman,0.62,DEM
128,California,27,U.S. Representative,REP,Robert Levy,0.38,
129,California,28,U.S. Representative,IND,Howard Berman,0.7140000000000001,DEM
130,California,28,U.S. Representative,REP,David Hernandez,0.23199999999999998,
131,California,28,U.S. Representative,LIB,Kelley Ross,0.055,
132,California,29,U.S. Representative,IND,Adam Schiff,0.626,DEM
133,California,29,U.S. Representative,REP,Jim Scileppi,0.33399999999999996,
134,California,29,U.S. Representative,LIB,Ted Brown,0.04,
135,California,30,U.S. Representative,IND,Henry Waxman,0.7040000000000001,DEM
136,California,30,U.S. Representative,REP,Tony Goss,0.29600000000000004,
137,California,31,U.S. Representative,IND,Xavier Becerra,0.812,DEM
138,California,31,U.S. Representative,REP,Luis Vega,0.18899999999999997,
139,California,32,U.S. Representative,IND,Hilda Solis,0.688,DEM
140,California,32,U.S. Representative,REP,Emma Fischbeck,0.275,
141,California,32,U.S. Representative,LIB,Michael McGuire,0.037000000000000005,
142,California,33,U.S. Representative,IND,Diane Watson,0.826,DEM
143,California,33,U.S. Representative,REP,Andrew Kim,0.141,
144,California,33,U.S. Representative,LIB,Charles Tate,0.034,
145,California,34,U.S. Representative,IND,Lucille Roybal-Allard,0.74,DEM
146,California,34,U.S. Representative,REP,Wayne Miller,0.26,
147,California,35,U.S. Representative,IND,Maxine Waters,0.775,DEM
148,California,35,U.S. Representative,REP,Ross Moen,0.19399999999999998,
149,California,35,U.S. Representative,IND,Gordon Mego,0.031,
150,California,36,U.S. Representative,IND,Jane Harman,0.614,DEM
151,California,36,U.S. Representative,REP,Stuart Johnson,0.35,
152,California,36,U.S. Representative,LIB,Mark McSpadden,0.036000000000000004,
153,California,37,U.S. Representative,IND,Juanita Millender-McDonald,0.7290000000000001,DEM
154,California,37,U.S. Representative,REP,Oscar Velasco,0.23199999999999998,
155,California,37,U.S. Representative,LIB,Herb Peters,0.039,
156,California,38,U.S. Representative,IND,Grace Napolitano,0.711,DEM
157,California,38,U.S. Representative,REP,Alex Burrola,0.263,
158,California,38,U.S. Representative,LIB,Al Cuperus,0.026000000000000002,
159,California,39,U.S. Representative,IND,Linda Sánchez,0.5479999999999999,DEM
160,California,39,U.S. Representative,REP,Tim Escobar,0.408,
161,California,39,U.S. Representative,LIB,Richard Newhouse,0.044000000000000004,
162,California,40,U.S. Representative,REP,Ed Royce,0.6759999999999999,
163,California,40,U.S. Representative,IND,Christina Avalos,0.295,DEM
164,California,40,U.S. Representative,LIB,Chuck McGlawn,0.028999999999999998,
165,California,41,U.S. Representative,REP,Jerry Lewis,0.674,
166,California,41,U.S. Representative,IND,Keith Johnson,0.29600000000000004,DEM
167,California,41,U.S. Representative,LIB,Kevin Craig,0.03,
168,California,42,U.S. Representative,REP,Gary Miller,0.6779999999999999,
169,California,42,U.S. Representative,IND,Richard Waldron,0.29,DEM
170,California,42,U.S. Representative,LIB,Donald Yee,0.032,
171,California,43,U.S. Representative,IND,Joe Baca,0.664,DEM
172,California,43,U.S. Representative,REP,Wendy Neighbor,0.305,
173,California,43,U.S. Representative,LIB,Ethel Mohler,0.031,
174,California,44,U.S. Representative,REP,Ken Calvert,0.637,
175,California,44,U.S. Representative,IND,Louis Vandenberg,0.316,DEM
176,California,44,U.S. Representative,IND,Phill Courtney,0.048,
177,California,45,U.S. Representative,REP,Mary Bono,0.652,
178,California,45,U.S. Representative,IND,Elle Kurpiewski,0.327,DEM
179,California,45,U.S. Representative,LIB,Rod Miller-Boyer,0.021,
180,California,46,U.S. Representative,REP,Dana Rohrabacher,0.617,
181,California,46,U.S. Representative,IND,Gerrie Schipske,0.345,DEM
182,California,46,U.S. Representative,LIB,Keith Gann,0.037000000000000005,
183,California,47,U.S. Representative,IND,Loretta Sanchez,0.606,DEM
184,California,47,U.S. Representative,REP,Jeff Chavez,0.34700000000000003,
185,California,47,U.S. Representative,LIB,Paul Marsden,0.042,
186,California,48,U.S. Representative,REP,Christopher Cox,0.684,
187,California,48,U.S. Representative,IND,John Graham,0.284,DEM
188,California,48,U.S. Representative,LIB,Joe Michael Cobb,0.031,
189,California,49,U.S. Representative,REP,Darrell Issa,0.772,
190,California,49,U.S. Representative,LIB,Karl Dietrich,0.22,
191,California,50,U.S. Representative,REP,Duke Cunningham,0.643,
192,California,50,U.S. Representative,IND,Del Stewart,0.32299999999999995,DEM
193,California,50,U.S. Representative,LIB,Richard Fontanesi,0.033,
194,California,51,U.S. Representative,IND,Bob Filner,0.579,DEM
195,California,51,U.S. Representative,REP,Maria Garcia,0.39299999999999996,
196,California,51,U.S. Representative,LIB,Jeffrey Keup,0.027000000000000003,
197,California,52,U.S. Representative,REP,Duncan Hunter,0.7020000000000001,
198,California,52,U.S. Representative,IND,Peter Moore-Kochlacs,0.258,DEM
199,California,52,U.S. Representative,LIB,Michael Benoit,0.040999999999999995,
200,California,53,U.S. Representative,IND,Susan Davis,0.622,DEM
201,California,53,U.S. Representative,REP,Bill VanDeWeghe,0.37799999999999995,
202,Colorado,1,U.S. Representative,IND,Diana DeGette,0.6629999999999999,DEM
203,Colorado,1,U.S. Representative,REP,Ken Chlouber,0.29600000000000004,
204,Colorado,1,U.S. Representative,IND,Ken Seaman,0.019,
205,Colorado,1,U.S. Representative,LIB,Kent Leonard,0.015,
206,Colorado,2,U.S. Representative,IND,Mark Udall,0.601,DEM
207,Colorado,2,U.S. Representative,REP,Sandy Hume,0.368,
208,Colorado,2,U.S. Representative,LIB,Norm Olsen,0.017,
209,Colorado,3,U.S. Representative,REP,Scott McInnis,0.6579999999999999,
210,Colorado,3,U.S. Representative,IND,Dennis Berckefeldt,0.313,DEM
211,Colorado,3,U.S. Representative,LIB,Brent Shroyer,0.02,
212,Colorado,4,U.S. Representative,REP,Marilyn Musgrave,0.5489999999999999,
213,Colorado,4,U.S. Representative,IND,Stan Matsunaka,0.41700000000000004,DEM
214,Colorado,4,U.S. Representative,LIB,John Volz,0.034,
215,Colorado,5,U.S. Representative,REP,Joel Hefley,0.6940000000000001,
216,Colorado,5,U.S. Representative,IND,Curtis Imrie,0.247,DEM
217,Colorado,5,U.S. Representative,LIB,Biff Baker,0.059000000000000004,
218,Colorado,6,U.S. Representative,REP,Tom Tancredo,0.669,
219,Colorado,6,U.S. Representative,IND,Lance Wright,0.3,DEM
220,Colorado,6,U.S. Representative,LIB,Adam Katz,0.031,
221,Colorado,7,U.S. Representative,REP,Bob Beauprez,0.473,
222,Colorado,7,U.S. Representative,IND,Mike Feeley,0.47200000000000003,DEM
223,Colorado,7,U.S. Representative,IND,Dave Chandler,0.019,
224,Colorado,7,U.S. Representative,IND,Victor Good,0.018000000000000002,
225,Colorado,7,U.S. Representative,LIB,"G.T. ""Bud"" Martin",0.017,
226,Connecticut,1,U.S. Representative,IND,John Larson,0.6679999999999999,DEM
227,Connecticut,1,U.S. Representative,REP,Phil Steele,0.332,
228,Connecticut,2,U.S. Representative,REP,Rob Simmons,0.541,
229,Connecticut,2,U.S. Representative,IND,Joseph Courtney,0.45899999999999996,DEM
230,Connecticut,3,U.S. Representative,IND,Rosa DeLauro,0.6559999999999999,DEM
231,Connecticut,3,U.S. Representative,REP,Richter Elser,0.295,
232,Connecticut,3,U.S. Representative,IND,Charles Pillsbury,0.049,
233,Connecticut,4,U.S. Representative,REP,Chris Shays,0.644,
234,Connecticut,4,U.S. Representative,IND,Stephanie Sanchez,0.35600000000000004,DEM
235,Connecticut,5,U.S. Representative,REP,Nancy Johnson,0.5429999999999999,
236,Connecticut,5,U.S. Representative,IND,Jim Maloney,0.433,DEM
237,Connecticut,5,U.S. Representative,IND,Joseph Zdonczyk,0.018000000000000002,
238,Connecticut,5,U.S. Representative,LIB,Walter Gengarelly,0.006999999999999999,
239,Delaware,At-Large,U.S. Representative,REP,Michael N. Castle,0.721,
240,Delaware,At-Large,U.S. Representative,IND,Michael Miller,0.267,DEM
241,Delaware,At-Large,U.S. Representative,LIB,Brad C. Thomas,0.012,
242,Florida,1,U.S. Representative,REP,Jeff Miller,0.746,
243,Florida,1,U.S. Representative,IND,Bert Oram,0.254,DEM
244,Florida,2,U.S. Representative,IND,Allen Boyd,0.669,DEM
245,Florida,2,U.S. Representative,REP,Tom McGurk,0.331,
246,Florida,3,U.S. Representative,IND,Corrine Brown,0.593,DEM
247,Florida,3,U.S. Representative,REP,Jennifer Carroll,0.40700000000000003,
248,Florida,4,U.S. Representative,REP,Ander Crenshaw,1.0,
249,Florida,5,U.S. Representative,REP,Ginny Brown-Waite,0.479,
250,Florida,5,U.S. Representative,IND,Karen Thurman,0.462,DEM
251,Florida,5,U.S. Representative,IND,Jack Gargan,0.034,
252,Florida,5,U.S. Representative,IND,Brian Moore,0.024,
253,Florida,6,U.S. Representative,REP,Cliff Stearns,0.654,
254,Florida,6,U.S. Representative,IND,David Bruderly,0.34600000000000003,DEM
255,Florida,7,U.S. Representative,REP,John Mica,0.596,
256,Florida,7,U.S. Representative,IND,Wayne Hogan,0.40399999999999997,DEM
257,Florida,8,U.S. Representative,REP,Ric Keller,0.6509999999999999,
258,Florida,8,U.S. Representative,IND,Eddie Diaz,0.349,DEM
259,Florida,9,U.S. Representative,REP,Michael Bilirakis,0.715,
260,Florida,9,U.S. Representative,IND,Chuck Kalogianis,0.285,DEM
261,Florida,10,U.S. Representative,REP,Bill Young,1.0,
262,Florida,11,U.S. Representative,IND,Jim Davis,1.0,DEM
263,Florida,12,U.S. Representative,REP,Adam Putnam,1.0,
264,Florida,13,U.S. Representative,REP,Katherine Harris,0.5479999999999999,
265,Florida,13,U.S. Representative,IND, Jan Schneider,0.452,DEM
266,Florida,14,U.S. Representative,REP,Porter Goss,1.0,
267,Florida,15,U.S. Representative,REP,Dave Weldon,0.632,
268,Florida,15,U.S. Representative,IND, Jim Tso,0.369,DEM
269,Florida,16,U.S. Representative,REP,Mark Foley,0.789,
270,Florida,16,U.S. Representative,IND, Jack McLain,0.21100000000000002,
271,Florida,17,U.S. Representative,IND,Kendrick Meek,1.0,DEM
272,Florida,18,U.S. Representative,REP,Ileana Ros-Lehtinen,0.691,
273,Florida,18,U.S. Representative,IND, Ray Chote,0.28600000000000003,DEM
274,Florida,18,U.S. Representative,IND,Orin Opperman,0.023,
275,Florida,19,U.S. Representative,IND,Robert Wexler,0.722,DEM
276,Florida,19,U.S. Representative,REP,Jack Merkl,0.278,
277,Florida,20,U.S. Representative,IND,Peter Deutsch,1.0,DEM
278,Florida,21,U.S. Representative,REP,Lincoln Diaz-Balart,1.0,
279,Florida,22,U.S. Representative,REP,Clay Shaw,0.608,
280,Florida,22,U.S. Representative,IND, Carol Roberts,0.384,DEM
281,Florida,22,U.S. Representative,IND, Juan Xuna,0.009000000000000001,
282,Florida,23,U.S. Representative,IND,Alcee Hastings,0.775,DEM
283,Florida,23,U.S. Representative,REP,Charles Laurie,0.225,
284,Florida,24,U.S. Representative,REP,Tom Feeney,0.618,
285,Florida,24,U.S. Representative,IND,Harry Jacobs,0.382,DEM
286,Florida,25,U.S. Representative,REP,Mario Diaz-Balart,0.647,
287,Florida,25,U.S. Representative,IND,Annie Betancourt,0.354,DEM
288,Georgia,1,U.S. Representative,REP,Jack Kingston,0.721,
289,Georgia,1,U.S. Representative,IND,Don Smart,0.27899999999999997,DEM
290,Georgia,2,U.S. Representative,IND,Sanford Bishop,1.0,DEM
291,Georgia,3,U.S. Representative,IND,Jim Marshall,0.505,DEM
292,Georgia,3,U.S. Representative,REP,"Calder Clay, III",0.495,
293,Georgia,4,U.S. Representative,IND,Denise Majette,0.77,DEM
294,Georgia,4,U.S. Representative,REP,Cynthia Van Auken,0.23,
295,Georgia,5,U.S. Representative,IND,John Lewis,1.0,DEM
296,Georgia,6,U.S. Representative,REP,Johnny Isakson,0.799,
297,Georgia,6,U.S. Representative,IND,Jeff Weisberger,0.201,DEM
298,Georgia,7,U.S. Representative,REP,John Linder,0.789,
299,Georgia,7,U.S. Representative,IND,Michael Berlon,0.21100000000000002,DEM
300,Georgia,8,U.S. Representative,REP,Mac Collins,0.7829999999999999,
301,Georgia,8,U.S. Representative,IND,Angelos Petrakopoulos,0.217,DEM
302,Georgia,9,U.S. Representative,REP,Charlie Norwood,0.728,
303,Georgia,9,U.S. Representative,IND,Barry Gordon Irwin,0.272,DEM
304,Georgia,10,U.S. Representative,REP,Nathan Deal,1.0,
305,Georgia,11,U.S. Representative,REP,Phil Gingrey,0.516,
306,Georgia,11,U.S. Representative,IND,Roger Kahn,0.484,DEM
307,Georgia,12,U.S. Representative,REP,Max Burns,0.552,
308,Georgia,12,U.S. Representative,IND,"Charles ""Champ"" Walker",0.44799999999999995,DEM
309,Georgia,13,U.S. Representative,IND,David Scott,0.596,DEM
310,Georgia,13,U.S. Representative,REP,Clay Cox,0.40399999999999997,
311,Hawaii,1,U.S. Representative,IND,Neil Abercrombie,0.7290000000000001,DEM
312,Hawaii,1,U.S. Representative,REP,Mark Terry,0.249,
313,Hawaii,1,U.S. Representative,LIB,James Bracken,0.022000000000000002,
314,Hawaii,2,U.S. Representative,IND,Patsy Mink,0.562,DEM
315,Hawaii,2,U.S. Representative,REP,Bob McDermott,0.4,
316,Hawaii,2,U.S. Representative,LIB,Jeff Mallan,0.026000000000000002,
317,Hawaii,2,U.S. Representative,IND,Nicholas Bedworth,0.012,
318,Idaho,1,U.S. Representative,REP,Butch Otter,0.586,
319,Idaho,1,U.S. Representative,IND,Betty Richardson,0.389,DEM
320,Idaho,1,U.S. Representative,LIB,Steve Gothard,0.025,
321,Idaho,2,U.S. Representative,REP,Mike Simpson,0.682,
322,Idaho,2,U.S. Representative,IND,Edward Kinghorn,0.29100000000000004,DEM
323,Idaho,2,U.S. Representative,LIB,"John ""Lack"" Lewis",0.027999999999999997,
324,Illinois,1,U.S. Representative,IND,Bobby Rush,0.812,DEM
325,Illinois,1,U.S. Representative,REP,Raymond Wardingley,0.162,
326,Illinois,1,U.S. Representative,LIB,Dorothy Tsatsos,0.026000000000000002,
327,Illinois,2,U.S. Representative,IND,Jesse L. Jackson Jr.,0.823,DEM
328,Illinois,2,U.S. Representative,REP,Doug Nelson,0.177,
329,Illinois,3,U.S. Representative,IND,Bill Lipinski,1.0,DEM
330,Illinois,4,U.S. Representative,IND,Luis Gutierrez,0.797,DEM
331,Illinois,4,U.S. Representative,REP,Tony Lopez-Cisneros,0.151,
332,Illinois,4,U.S. Representative,LIB,Maggie Kohls,0.052000000000000005,
333,Illinois,5,U.S. Representative,IND,Rahm Emanuel,0.6679999999999999,DEM
334,Illinois,5,U.S. Representative,REP,Mark Augusti,0.289,
335,Illinois,5,U.S. Representative,LIB,Frank Gonzalez,0.043,
336,Illinois,6,U.S. Representative,REP,Henry Hyde,0.6509999999999999,
337,Illinois,6,U.S. Representative,IND,Tom Berry,0.349,DEM
338,Illinois,7,U.S. Representative,IND,Danny K. Davis,0.8320000000000001,DEM
339,Illinois,7,U.S. Representative,REP,Mark Tunney,0.153,
340,Illinois,7,U.S. Representative,LIB,Martin Pankau,0.015,
341,Illinois,8,U.S. Representative,REP,Phil Crane,0.574,
342,Illinois,8,U.S. Representative,IND,Melissa Bean,0.426,DEM
343,Illinois,9,U.S. Representative,IND,Jan Schakowsky,0.703,DEM
344,Illinois,9,U.S. Representative,REP,Nicholas Duric,0.268,
345,Illinois,9,U.S. Representative,LIB,Stephanie Sailor,0.009000000000000001,
346,Illinois,10,U.S. Representative,REP,Mark Kirk,0.688,
347,Illinois,10,U.S. Representative,IND,Hank Perritt,0.312,DEM
348,Illinois,11,U.S. Representative,REP,Jerry Weller,0.643,
349,Illinois,11,U.S. Representative,IND,Keith Van Duyne,0.35700000000000004,DEM
350,Illinois,12,U.S. Representative,IND,Jerry Costello,0.693,DEM
351,Illinois,12,U.S. Representative,REP,David Sadler,0.308,
352,Illinois,13,U.S. Representative,REP,Judy Biggert,0.703,
353,Illinois,13,U.S. Representative,IND,Thomas Mason,0.297,DEM
354,Illinois,14,U.S. Representative,REP,Dennis Hastert,0.741,
355,Illinois,14,U.S. Representative,IND,Laurence Quick,0.259,DEM
356,Illinois,15,U.S. Representative,REP,Timothy V. Johnson,0.652,
357,Illinois,15,U.S. Representative,IND,Joshua Hartke,0.31,DEM
358,Illinois,15,U.S. Representative,IND,Carl Estabrook,0.038,
359,Illinois,16,U.S. Representative,REP,Donald A. Manzullo,0.706,
360,Illinois,16,U.S. Representative,IND,John Kutsch,0.294,DEM
361,Illinois,17,U.S. Representative,IND,Lane Evans,0.624,DEM
362,Illinois,17,U.S. Representative,REP,Peter Calderone,0.376,
363,Illinois,18,U.S. Representative,REP,Ray LaHood,1.0,
364,Illinois,19,U.S. Representative,REP,John Shimkus,0.5479999999999999,
365,Illinois,19,U.S. Representative,IND,David D. Phelps,0.452,DEM
366,Indiana,1,U.S. Representative,IND,Pete Visclosky,0.669,DEM
367,Indiana,1,U.S. Representative,REP,Mark Leyva,0.31,
368,Indiana,1,U.S. Representative,LIB,Timothy Brennan,0.02,
369,Indiana,2,U.S. Representative,REP,Chris Chocola,0.505,
370,Indiana,2,U.S. Representative,IND,Jill Long Thompson,0.45799999999999996,DEM
371,Indiana,2,U.S. Representative,LIB,Sharon Metheny,0.038,
372,Indiana,3,U.S. Representative,REP,Mark Souder,0.631,
373,Indiana,3,U.S. Representative,IND,Jay Rigdon,0.345,DEM
374,Indiana,3,U.S. Representative,LIB,Mike Donlan,0.024,
375,Indiana,4,U.S. Representative,REP,Steve Buyer,0.7140000000000001,
376,Indiana,4,U.S. Representative,IND,Bill Abbott,0.262,DEM
377,Indiana,4,U.S. Representative,LIB,Jerry Susong,0.025,
378,Indiana,5,U.S. Representative,REP,Dan Burton,0.72,
379,Indiana,5,U.S. Representative,IND,Katherine Fox Carr,0.252,DEM
380,Indiana,5,U.S. Representative,LIB,Christopher Adkins,0.028999999999999998,
381,Indiana,6,U.S. Representative,REP,Mike Pence,0.638,
382,Indiana,6,U.S. Representative,IND,Mel Fox,0.344,DEM
383,Indiana,6,U.S. Representative,LIB,Doris Robertson,0.018000000000000002,
384,Indiana,7,U.S. Representative,IND,Julia Carson,0.531,DEM
385,Indiana,7,U.S. Representative,REP,Brose McVey,0.441,
386,Indiana,7,U.S. Representative,LIB,Andrew Horning,0.027000000000000003,
387,Indiana,8,U.S. Representative,REP,John Hostettler,0.513,
388,Indiana,8,U.S. Representative,IND,Bryan Hartke,0.46,DEM
389,Indiana,8,U.S. Representative,LIB,Pam Williams,0.027000000000000003,
390,Indiana,9,U.S. Representative,IND,Baron Hill,0.512,DEM
391,Indiana,9,U.S. Representative,REP,Mike Sodrel,0.461,
392,Indiana,9,U.S. Representative,IND,Jeff Melton,0.015,
393,Indiana,9,U.S. Representative,LIB,Al Cox,0.013000000000000001,
394,Iowa,1,U.S. Representative,REP,Jim Nussle,0.5720000000000001,
395,Iowa,1,U.S. Representative,IND,Ann Hutchinson,0.42700000000000005,DEM
396,Iowa,2,U.S. Representative,REP,Jim Leach,0.522,
397,Iowa,2,U.S. Representative,IND,Julie Thomas,0.457,DEM
